group_id,group_label,distributor_id,sigagente,nomagente,distributor_name_sig,distributor_name_legal,distributor_label,distributor_count,selector_enabled
equatorial,Grupo Equatorial,ceee_equatorial,CEEE Equatorial,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,CEEE Equatorial,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,CEEE Equatorial — COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,6,True
equatorial,Grupo Equatorial,equatorial_al,Equatorial AL,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,Equatorial AL,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,Equatorial AL — EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,6,True
equatorial,Grupo Equatorial,equatorial_ma,Equatorial MA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Equatorial MA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,Equatorial MA — EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,6,True
equatorial,Grupo Equatorial,equatorial_pa,Equatorial PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,Equatorial PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,Equatorial PA — EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,6,True
equatorial,Grupo Equatorial,equatorial_pi,Equatorial PI,EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A.,Equatorial PI,EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A.,Equatorial PI — EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A.,6,True
forcel,Grupo Forcel,forcel,Forcel,FORÇA E LUZ CORONEL VIVIDA LTDA,Forcel,FORÇA E LUZ CORONEL VIVIDA LTDA,Forcel — FORÇA E LUZ CORONEL VIVIDA LTDA,1,False
hidropan,Grupo Hidropan,hidropan,Hidropan,HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,Hidropan,HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,Hidropan — HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,1,False
joao,Grupo JOAO,joao_cesa,João Cesa,EMPRESA FORÇA E LUZ JOÃO CESA LTDA.,João Cesa,EMPRESA FORÇA E LUZ JOÃO CESA LTDA.,João Cesa — EMPRESA FORÇA E LUZ JOÃO CESA LTDA.,1,False
light,Grupo Light,light,Light,LIGHT SERVIÇOS DE ELETRICIDADE S.A.,Light,LIGHT SERVIÇOS DE ELETRICIDADE S.A.,Light — LIGHT SERVIÇOS DE ELETRICIDADE S.A.,1,False
mux,Grupo MUX,mux_energia,Mux Energia,"MUXFELDT, MARIN & CIA LTDA",Mux Energia,"MUXFELDT, MARIN & CIA LTDA","Mux Energia — MUXFELDT, MARIN & CIA LTDA",1,False
neoenergia,Grupo Neoenergia,neoenergia_coelba,Neoenergia Coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,Neoenergia Coelba,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,Neoenergia Coelba — COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,5,True
neoenergia,Grupo Neoenergia,neoenergia_pernambuco,Neoenergia Pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,Neoenergia Pernambuco,COMPANHIA ENERGÉTICA DE PERNAMBUCO,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,5,True
neoenergia,Grupo Neoenergia,neoenergia_cosern,Neoenergia Cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,Neoenergia Cosern,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,Neoenergia Cosern — COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE,5,True
neoenergia,Grupo Neoenergia,neoenergia_elektro,Neoenergia Elektro,ELEKTRO REDES S.A.,Neoenergia Elektro,ELEKTRO REDES S.A.,Neoenergia Elektro — ELEKTRO REDES S.A.,5,True
neoenergia,Grupo Neoenergia,neoenergia_brasilia,Neoenergia Brasília,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,Neoenergia Brasília,NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,Neoenergia Brasília — NEOENERGIA DISTRIBUIÇÃO BRASÍLIA S.A.,5,True
nova,Grupo NOVA,nova_palma,Nova Palma,NOVA PALMA ENERGIA LTDA.,Nova Palma,NOVA PALMA ENERGIA LTDA.,Nova Palma — NOVA PALMA ENERGIA LTDA.,1,False
rge,Grupo RGE,rge,RGE,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,RGE,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,RGE — RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,1,False
roraima,Grupo Roraima,roraima_energia,Roraima Energia,RORAIMA ENERGIA S.A.,Roraima Energia,RORAIMA ENERGIA S.A.,Roraima Energia — RORAIMA ENERGIA S.A.,1,False
santa,Grupo Santa,santa_maria,Santa Maria,EMPRESA LUZ E FORÇA SANTA MARIA S.A.,Santa Maria,EMPRESA LUZ E FORÇA SANTA MARIA S.A.,Santa Maria — EMPRESA LUZ E FORÇA SANTA MARIA S.A.,1,False
sulgipe,Grupo Sulgipe,sulgipe,Sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,Sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,Sulgipe — COMPANHIA SUL SERGIPANA DE ELETRICIDADE,1,False
