dimension_id,dimension_label,id,label,periodo_regulatorio,regime_regulatorio,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,compensacao_anualizada,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_serv_periodo,suppressed_low_volume,selector_enabled
economico,Grupo Econômico,cergal,Grupo Cergal,operacional_2023_plus,REN_1000,40,184822,88,10011.46,3003.438,264438,0.0004761337935960005,33.278121903811105,0.03785938480853735,0.0001225385540676706,False,True
economico,Grupo Econômico,cergal,Grupo Cergal,pos_2022,REN_1000,40,184822,88,10011.46,3003.438,264438,0.0004761337935960005,33.278121903811105,0.03785938480853735,0.0001225385540676706,False,True
economico,Grupo Econômico,cergapa,Grupo Cergapa,operacional_2023_plus,REN_1000,39,10070,6,1.0,0.3076923076923077,51698,0.0005958291956305859,11.605864830360943,1.9343108050601572e-05,6.676495435940758e-06,False,True
economico,Grupo Econômico,cergapa,Grupo Cergapa,pos_2022,REN_1000,39,10070,6,1.0,0.3076923076923077,51698,0.0005958291956305859,11.605864830360943,1.9343108050601572e-05,6.676495435940758e-06,False,True
economico,Grupo Econômico,cergral,Grupo Cergral,operacional_2023_plus,REN_1000,40,96744,99,4015.92,1204.7759999999998,89126,0.0010233192756139917,111.07869757422077,0.045058905369925725,6.414209279589401e-05,False,True
economico,Grupo Econômico,cergral,Grupo Cergral,pos_2022,REN_1000,40,96744,99,4015.92,1204.7759999999998,89126,0.0010233192756139917,111.07869757422077,0.045058905369925725,6.414209279589401e-05,False,True
economico,Grupo Econômico,ceriluz,Grupo Ceriluz,operacional_2023_plus,REN_1000,40,187673,27,5241.89,1572.5670000000002,194410,0.0001438672584761793,13.888174476621574,0.026963067743428836,0.00012442879125613803,False,True
economico,Grupo Econômico,ceriluz,Grupo Ceriluz,pos_2022,REN_1000,40,187673,27,5241.89,1572.5670000000002,194410,0.0001438672584761793,13.888174476621574,0.026963067743428836,0.00012442879125613803,False,True
economico,Grupo Econômico,cerim,Grupo Cerim,operacional_2023_plus,REN_1000,40,197424,64,9707.529999999999,2912.259,201856,0.00032417537887997406,31.70577045022194,0.04809136215916296,0.0001308937869856175,False,True
economico,Grupo Econômico,cerim,Grupo Cerim,pos_2022,REN_1000,40,197424,64,9707.529999999999,2912.259,201856,0.00032417537887997406,31.70577045022194,0.04809136215916296,0.0001308937869856175,False,True
economico,Grupo Econômico,ceripa,Grupo Ceripa,operacional_2023_plus,REN_1000,40,96397,11,0.0,0.0,89441,0.000114111435003164,12.298610257040956,0.0,6.3912028851875e-05,False,True
economico,Grupo Econômico,ceripa,Grupo Ceripa,pos_2022,REN_1000,40,96397,11,0.0,0.0,89441,0.000114111435003164,12.298610257040956,0.0,6.3912028851875e-05,False,True
economico,Grupo Econômico,ceris,Grupo Ceris,operacional_2023_plus,REN_1000,40,81426,29,1255.7,376.71000000000004,91144,0.00035615159776975413,31.817782849117883,0.013777099973668043,5.3986128834847285e-05,False,True
economico,Grupo Econômico,ceris,Grupo Ceris,pos_2022,REN_1000,40,81426,29,1255.7,376.71000000000004,91144,0.00035615159776975413,31.817782849117883,0.013777099973668043,5.3986128834847285e-05,False,True
economico,Grupo Econômico,cermc,Grupo Cermc,operacional_2023_plus,REN_1000,38,39283,99,0.0,0.0,40744,0.002520174121121096,242.98056155507558,0.0,2.6044962285011003e-05,False,True
economico,Grupo Econômico,cermc,Grupo Cermc,pos_2022,REN_1000,38,39283,99,0.0,0.0,40744,0.002520174121121096,242.98056155507558,0.0,2.6044962285011003e-05,False,True
economico,Grupo Econômico,cermissoes,Grupo Cermissoes,operacional_2023_plus,REN_1000,40,274917,558,88675.75,26602.725000000002,340883,0.0020297035105140823,163.6925279348046,0.26013544236585573,0.00018227230345208793,False,True
