ano,mes,group_id,distributor_id,sigagente,nomagente,distributor_name_sig,distributor_name_legal,distributor_label,classe_local_servico,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_mes,bucket_porte,rank_porte_ano,uc_ativa_media_mensal,taxa_fora_prazo,flag_uc_ativa_ausente,flag_taxa_fora_prazo_invalida,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs,periodo_regulatorio,regime_regulatorio,ano_comparavel_principal
2023,1,cejama,cejama,Cejama,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,Cejama,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,Cejama — COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,urbana,58,0,0.0,,P,87,5593.818181818182,0.0,True,False,,,,pos_2022,REN_1000,True
2023,1,celesc,celesc_dis,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,grupo_a,0,0,0.0,,,,,,False,False,,,,pos_2022,REN_1000,True
2023,1,celesc,celesc_dis,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,nao_classificado,63553,334,98101.59,,,,,0.005255456076031029,True,False,,,293.7173353293413,pos_2022,REN_1000,True
2023,1,celesc,celesc_dis,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,rural,4050,45,6599.8099999999995,,,,,0.011111111111111112,True,False,,,146.66244444444445,pos_2022,REN_1000,True
2023,1,celesc,celesc_dis,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis,CELESC DISTRIBUIÇÃO S.A.,Celesc-Dis — CELESC DISTRIBUIÇÃO S.A.,urbana,52631,280,97619.6,,,,,0.005320058520643727,True,False,,,348.6414285714286,pos_2022,REN_1000,True
2023,1,celetro,celetro,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,grupo_a,0,0,0.0,23894,G,50,23953.833333333332,,False,False,0.0,0.0,,pos_2022,REN_1000,True
2023,1,celetro,celetro,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,nao_classificado,2365,6,0.0,23894,G,50,23953.833333333332,0.002536997885835095,False,False,25.110906503724784,0.0,0.0,pos_2022,REN_1000,True
2023,1,celetro,celetro,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,rural,239,0,0.0,23894,G,50,23953.833333333332,0.0,False,False,0.0,0.0,,pos_2022,REN_1000,True
2023,1,celetro,celetro,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,Celetro — COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA.,urbana,81,3,0.0,23894,G,50,23953.833333333332,0.037037037037037035,False,False,12.555453251862392,0.0,0.0,pos_2022,REN_1000,True
2023,1,cemig,cemig_d,Cemig-D,CEMIG DISTRIBUIÇÃO S.A.,Cemig-D,CEMIG DISTRIBUIÇÃO S.A.,Cemig-D — CEMIG DISTRIBUIÇÃO S.A.,grupo_a,15,0,0.0,10253766,GG,1,10348449.75,0.0,False,False,0.0,0.0,,pos_2022,REN_1000,True
