ano,group_id,distributor_id,sigagente,distributor_name_sig,distributor_name_legal,distributor_label,codigo_base,classe_local,qtd_serv,qtd_fora_prazo,prazo_medio,compensacao_rs,has_qs,has_qv,has_pm,has_cr,taxa_fora_prazo,periodo_regulatorio,ano_comparavel_principal,uc_ativa_media_mensal,bucket_porte,rank_porte_ano,nomagente,fora_prazo_por_100k_uc,compensacao_rs_por_uc
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,Inform,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,LigA,grupo_a,4.0,1.0,162.63333333333333,0.0,True,True,True,True,0.25,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,LigBRr,grupo_b_rural,280.0,232.0,168.8,0.82,True,True,True,True,0.8285714285714286,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,LigBUb,grupo_b_urbana,3138.0,622.0,58.166666666666664,1063.46,True,True,True,True,0.19821542383683874,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,Obra,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,PgtoRsc,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,RclCobr,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,RclDano,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,RclVisTc,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,ReanProj,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,RelNorRr,rural,10.0,0.0,10.933333333333332,0.0,True,True,True,True,0.0,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,RelNorUb,urbana,2035.0,148.0,18.833333333333332,1968.86,True,True,True,True,0.07272727272727272,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,RelUrgRr,rural,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,RelUrgUb,urbana,3881.0,95.0,2.733333333333333,905.16,True,True,True,True,0.0244782272610152,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,ReligIdv,nao_classificado,37.0,2.0,2.8000000000000003,395.75,True,True,True,True,0.05405405405405406,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,ResulRsc,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,SubstMed,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,VistRr,rural,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,VistUb,urbana,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,VrfResfr,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cea,cea_equatorial,CEA,CEA,CEA,CEA,VrfRsc,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,AfedMed,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,AnProj,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,EstProj,nao_classificado,3.0,0.0,0.0,0.0,True,True,True,True,0.0,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Inform,nao_classificado,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,LigA,grupo_a,0.0,0.0,0.0,0.0,True,True,True,True,,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,LigBRr,grupo_b_rural,169.0,20.0,1.8125,74.32,True,True,True,True,0.11834319526627218,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,LigBUb,grupo_b_urbana,20.0,3.0,5.3325,0.0,True,True,True,True,0.15,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
2011,cedrap,cedrap,Cedrap,Cedrap,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Cedrap — COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,Obra,nao_classificado,9.0,0.0,10.1675,0.0,True,True,True,True,0.0,pre_2022,True,,,,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO DA PARAÍBA,,
