neo_distribuidora,ano,mes,taxa_fora_prazo,taxa_var_abs,taxa_var_pct,qtd_fora_prazo,compensacao_rs
Neoenergia Elektro — ELEKTRO REDES S.A.,2024,2,3.564828838756073e-05,1.4432238407175928e-05,0.680250961914173,191,29343.46
Neoenergia Elektro — ELEKTRO REDES S.A.,2024,6,2.441970389277552e-05,-2.503102935978828e-05,-0.506181156747368,80,11390.65
Neoenergia Elektro — ELEKTRO REDES S.A.,2024,7,7.373807922689259e-05,4.931837533411706e-05,2.019613978558836,284,9965.18
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,1,1.1215220321784176e-05,-2.0477263981632625e-05,-0.6461236609155613,46,18705.11
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,3,2.534883751007164e-05,1.5889286011732733e-05,1.6797081779747054,98,28914.92
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,4,6.613487585321599e-05,4.078603834314435e-05,1.6089904843541318,239,169360.16
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,6,2.5767705849612795e-06,-4.956902907087644e-05,-0.9505852704921977,9,12074.22
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,7,3.882928162722647e-06,1.3061575777613677e-06,0.5068971158645055,15,21805.02
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,8,8.202267927081837e-06,4.31933976435919e-06,1.1123923964976314,30,11479.79
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,9,3.2349669736830045e-06,-4.9673009533988325e-06,-0.6056009139860022,12,10621.54
Neoenergia Elektro — ELEKTRO REDES S.A.,2025,10,5.031242759727216e-06,1.7962757860442114e-06,0.5552686629128565,20,20197.56
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2023,4,0.0003551604435855,-0.0004223844243909,-0.5432283612007969,1226,432761.75
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2023,7,0.0114856302904354,0.0110385485829169,24.69022641115473,1133,188003.56
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2023,8,0.0004168711567885,-0.0110687591336468,-0.9637049821170252,1444,367969.16
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,3,0.0002506982410268,0.0001119868952122,0.8073376734584683,945,172881.74
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,6,0.0002365211900355,9.766576535205392e-05,0.703362980414231,857,291292.01
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,8,0.0082451839473394,0.008025589095838,36.54725527929772,972,258757.87
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,9,0.000247772441959,-0.0079974115053803,-0.9699494342950398,1035,406773.99
Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,10,0.0134231136790535,0.0131753412370945,53.1751680409818,1222,198528.54
