group_id,group_label,distributor_id,distributor_label,ano,mes,taxa_fora_prazo,taxa_var_abs,taxa_var_pct,qtd_fora_prazo,compensacao_rs
certhil,Grupo Certhil,certhil,Certhil — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2024,1,0.000714224495043282,0.00029586446635573724,0.7072006072948851,25,1971.7199999999998
cetril,Grupo Cetril,cetril,Cetril — COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,2024,1,0.000374859427714607,-0.0005235087129804128,-0.5827329457335853,36,2768.16
chesp,Grupo Chesp,chesp,Chesp — COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2024,1,0.0023989152730939053,0.001885756413772741,3.6748004628962807,69,0.0
chesp,Grupo Chesp,chesp,Chesp — COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2025,1,0.004783347096492732,0.0023844318233988263,0.9939625005278325,307,309.82
coopera,Grupo Coopera,coopera,Coopera — COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,2024,1,0.0020010321112995124,0.0012868439227118195,1.8018275060758895,190,37422.68
coopera,Grupo Coopera,coopera,Coopera — COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,2025,1,0.00038177774808395294,-0.0016192543632155595,-0.8092095844298979,40,2293.98
coopercocal,Grupo Coopercocal,coopercocal,Coopercocal — COOPERATIVA ENERGÉTICA COCAL,2024,1,0.0,-7.763372408974459e-05,-1.0,0,0.0
coopercocal,Grupo Coopercocal,coopercocal,Coopercocal — COOPERATIVA ENERGÉTICA COCAL,2025,1,9.795598511069027e-05,9.795598511069027e-05,inf,3,1234.07
coopermila,Grupo Coopermila,coopermila,Coopermila — COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,2024,1,0.0035746201966041107,0.0014286974498229949,0.6657730116175156,4,198.79
coopermila,Grupo Coopermila,coopermila,Coopermila — COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,2025,1,0.010638297872340425,0.007063677675736315,1.976063829787234,7,2605.25
coopersul,Grupo Coopersul,coopersul,Coopersul — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,2024,1,0.002823315118397086,-0.0031718377367413128,-0.5290670335490705,62,7714.950000000001
coopersul,Grupo Coopersul,coopersul,Coopersul — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,2025,1,0.02075147347740668,0.017928158359009592,6.350038025223397,169,369.73
cooperzem,Grupo Cooperzem,cooperzem,Cooperzem — COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2024,1,3.158360179394858e-05,3.158360179394858e-05,inf,1,0.0
coorsel,Grupo Coorsel,coorsel,Coorsel — COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,2024,1,0.0009062987764966517,0.00043652113791224834,0.9292079955692059,18,596.24
coorsel,Grupo Coorsel,coorsel,Coorsel — COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,2025,1,0.00027224218664924317,-0.0006340565898474086,-0.6996109961644101,5,469.19
copel,Grupo Copel,copel_dis,Copel-Dis — COPEL DISTRIBUIÇÃO S.A.,2025,1,0.0006437377233674251,0.00025059219760741774,0.6374031527460133,10129,2503281.5387
coprel,Grupo Coprel,coprel,Coprel — COPREL COOPERATIVA DE ENERGIA,2024,1,0.009732087924380559,0.003344136742869263,0.5235069348288428,174,26371.72
coprel,Grupo Coprel,coprel,Coprel — COPREL COOPERATIVA DE ENERGIA,2025,1,0.0771101761767026,0.06737808825232204,6.923292183122217,1173,27364.58
cpfl,Grupo CPFL,cpfl_paulista,CPFL Paulista — COMPANHIA PAULISTA DE FORÇA E LUZ,2025,1,0.0007629277473998475,0.0002960973014706298,0.6342716162851234,21159,7686946.6618
creral,Grupo Creral,creral,Creral — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,2024,1,0.0014547378165707862,-0.0017882070533664248,-0.5514145707327573,22,2085.4900000000002
creral,Grupo Creral,creral,Creral — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,2025,1,0.006605271514766592,0.005150533698195806,3.540523687173417,104,9024.570000000002
dcelt,Grupo Dcelt,dcelt,Dcelt — DISTRIBUIDORA CATARINENSE DE ENERGIA ELÉTRICA S/A.,2025,1,0.020437249204372492,0.009317617302532001,0.8379429629311539,1477,41850.42
demei,Grupo Demei,demei,Demei — DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ,2024,1,0.0012225761586432769,-0.0016293913135115002,-0.5713218434011202,109,14273.43
dmed,Grupo DMED,dmed,Dmed — DME DISTRIBUIÇÃO S.A.,2024,1,0.0008686976145437607,-0.0009590060415198184,-0.5247054347887445,276,91379.95
dmed,Grupo DMED,dmed,Dmed — DME DISTRIBUIÇÃO S.A.,2025,1,0.012818369957971063,0.011949672343427302,13.755847999770623,4218,136297.47
edp,Grupo EDP,edp_es,EDP ES — EDP ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,2024,1,0.0018247825475772197,-0.01714140102730201,-0.9037875732683432,16473,8455710.99
edp,Grupo EDP,edp_es,EDP ES — EDP ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,2025,1,0.0008505848198975167,-0.0009741977276797031,-0.5338705858257764,8936,7010581.7700000005
edp,Grupo EDP,edp_sp,EDP SP — EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,2024,1,0.00115483004730986,-0.012426126796058331,-0.9149669599403976,13372,7168734.33
enel,Grupo ENEL,enel_ce,Enel CE — COMPANHIA ENERGÉTICA DO CEARÁ,2024,1,0.0016306476529357376,-0.0017237579987283977,-0.5138788142314373,21811,28734341.29
enel,Grupo ENEL,enel_rj,Enel RJ — AMPLA ENERGIA E SERVIÇOS S.A.,2024,1,0.0007258094575986754,-0.0008442330775526268,-0.5377135068963399,8042,6743429.300000001
enel,Grupo ENEL,enel_sp,Enel SP — ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.,2024,1,0.00028334759193594756,-0.00032840563338867645,-0.5368269749855581,12735,15926437.21
enel,Grupo ENEL,enel_sp,Enel SP — ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.,2025,1,0.000848131633220535,0.0005647840412845875,1.9932551303003851,26791,7883179.839799999
energisa,Grupo Energisa,energisa_ms,Energisa MS — ENERGISA MATO GROSSO DO SUL DISTRIBUIDORA DE ENERGIA S.A.,2025,1,0.006428824030257682,0.004193770420665912,1.8763623398867373,12398,3461325.69
energisa,Grupo Energisa,energisa_minas_rio,Energisa Minas Rio — ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,2024,1,0.002108455829044491,-0.0029475274928924627,-0.58297808857551,1236,316774.61852754
energisa,Grupo Energisa,energisa_minas_rio,Energisa Minas Rio — ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,2025,1,0.008921865215936043,0.006813409386891551,3.231468875484695,5571,1143648.12
energisa,Grupo Energisa,energisa_ro,Energisa RO — ENERGISA RONDÔNIA DISTRIBUIDORA DE ENERGIA S.A.,2025,1,0.00647781051506982,-0.006697573460940412,-0.5083399066877572,7761,4997325.609999999
energisa,Grupo Energisa,energisa_sul_sudeste,Energisa Sul-Sudeste — ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,2024,1,0.0027572758533926027,-0.0040182543120254564,-0.5930538590964306,2367,1115422.05
equatorial,Grupo Equatorial,ceee_equatorial,CEEE Equatorial — COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2024,1,0.00244861116771037,0.0014606299920265995,1.4783986051310278,20850,5364701.67
equatorial,Grupo Equatorial,ceee_equatorial,CEEE Equatorial — COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2025,1,0.0008109341490457913,-0.001637677018664579,-0.6688187329456339,7060,5318498.970000001
equatorial,Grupo Equatorial,equatorial_al,Equatorial AL — EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,2024,1,0.008845067465509096,-0.009703776495826455,-0.5231472385046558,4550,2312783.67
equatorial,Grupo Equatorial,equatorial_pa,Equatorial PA — EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,2025,1,0.0019099836972906266,-0.002630490351974938,-0.579342668504058,2984,5949178.49
equatorial,Grupo Equatorial,equatorial_pi,Equatorial PI — EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A.,2025,1,0.011413550502364542,-0.011704029658488978,-0.5062826462394261,6374,2925041.31
forcel,Grupo Forcel,forcel,Forcel — FORÇA E LUZ CORONEL VIVIDA LTDA,2024,1,0.002955082742316785,-0.008563855172560215,-0.7434587490483632,50,1893.2399999999998
hidropan,Grupo Hidropan,hidropan,Hidropan — HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,2024,1,0.00012027422523353245,-0.0004188357532020684,-0.7769022462122731,6,0.0
hidropan,Grupo Hidropan,hidropan,Hidropan — HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,2025,1,0.00022810797110632365,0.0001078337458727912,0.8965657077683438,9,1377.08
