group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
cerej,Grupo Cerej,cerej,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2025,5466,70,7032.2,183950,0.012806439809732895,38.053818972546885,0.038228866539820605,sem_cod_69_93
ceres,Grupo Ceres,ceres,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2023,2381,99,595.0500000000001,69735,0.041579168416631666,141.9660141966014,0.008533017853301786,sem_cod_69_93
ceres,Grupo Ceres,ceres,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2024,7097,68,0.0,71930,0.009581513315485417,94.53635478937856,0.0,sem_cod_69_93
ceres,Grupo Ceres,ceres,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2025,4302,53,278.57,73725,0.012319851231985124,71.88877585622245,0.0037785011868429973,sem_cod_69_93
cerfox,Grupo Cerfox,cerfox,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2023,12261,154,88.27,193631,0.012560150069325503,79.53271945091437,0.0004558670873981955,sem_cod_69_93
cerfox,Grupo Cerfox,cerfox,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2024,9948,53,3988.4499999999994,197797,0.005327704061117813,26.795148561403863,0.020164360430137966,sem_cod_69_93
cerfox,Grupo Cerfox,cerfox,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2025,11062,56,13480.23,198486,0.005062375700596637,28.213576776195804,0.06791526858317463,sem_cod_69_93
cergal,Grupo Cergal,cergal,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2023,6578,41,251.44,243916,0.006232897537245363,16.809065415962873,0.0010308466849243182,sem_cod_69_93
cergal,Grupo Cergal,cergal,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2024,7151,19,1587.5900000000001,247253,0.0026569710529995806,7.684436589242598,0.006420912991955609,sem_cod_69_93
cergal,Grupo Cergal,cergal,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2025,8215,24,4150.44,251375,0.0029214850882531953,9.547488811536548,0.01651094977623073,sem_cod_69_93
cergapa,Grupo Cergapa,cergapa,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2023,1533,6,1.0,47709,0.003913894324853229,12.576243476073698,2.0960405793456162e-05,sem_cod_69_93
cergapa,Grupo Cergapa,cergapa,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2024,4239,0,0.0,48230,0.0,0.0,0.0,sem_cod_69_93
cergapa,Grupo Cergapa,cergapa,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2025,1216,0,0.0,48804,0.0,0.0,0.0,sem_cod_69_93
cergral,Grupo Cergral,cergral,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2023,3830,65,71.09,82236,0.016971279373368148,79.04080937788804,0.0008644632521037016,sem_cod_69_93
cergral,Grupo Cergral,cergral,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2024,4015,19,2964.6400000000003,84211,0.004732254047322541,22.562373086651387,0.03520490197242641,sem_cod_69_93
cergral,Grupo Cergral,cergral,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2025,5132,11,825.1399999999999,86946,0.0021434138737334374,12.651530835231062,0.009490258321256871,sem_cod_69_93
ceriluz,Grupo Ceriluz,ceriluz,Ceriluz — COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,2023,5490,6,340.69,179421,0.001092896174863388,3.3440901566706236,0.0018988301257935247,sem_cod_69_93
ceriluz,Grupo Ceriluz,ceriluz,Ceriluz — COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,2024,3985,14,4604.74,181084,0.0035131744040150566,7.731218660952928,0.025428751297740273,sem_cod_69_93
