group_id,group_label,distributor_id,distributor_label,ano,total_serv,serv_focus,share_serv_focus
cooperativa,Grupo Cooperativa,cerbranorte,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2024,58676,50209.0,0.8556990933260618
cooperativa,Grupo Cooperativa,cerbranorte,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2025,84858,74015.0,0.8722218294091305
cooperativa,Grupo Cooperativa,cetril,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,2023,94616,77437.0,0.8184345142470618
cooperativa,Grupo Cooperativa,cetril,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,2024,96036,76700.0,0.7986588362697322
cooperativa,Grupo Cooperativa,cetril,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,2025,105178,81968.0,0.7793264751183707
cooperativa,Grupo Cooperativa,cerpalo,COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,2023,74764,67494.0,0.9027606869616392
cooperativa,Grupo Cooperativa,cerpalo,COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,2024,96915,89253.0,0.9209410308001857
cooperativa,Grupo Cooperativa,cerpalo,COOPERATIVA DE ELETRIFICAÇÃO DE PAULO LOPES,2025,98203,88842.0,0.9046770465260735
cooperativa,Grupo Cooperativa,cerim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,2023,42441,31458.0,0.7412172191984167
cooperativa,Grupo Cooperativa,cerim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,2024,46382,36215.0,0.7807985856582295
cooperativa,Grupo Cooperativa,cerim,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE ITU-MAIRINQUE,2025,68702,57354.0,0.8348228581409566
cooperativa,Grupo Cooperativa,cermc,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2023,10707,8227.0,0.7683758288969833
cooperativa,Grupo Cooperativa,cermc,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2024,11145,9344.0,0.8384028712427097
cooperativa,Grupo Cooperativa,cermc,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2025,14094,12098.0,0.8583794522491841
