group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
companhia,Grupo Companhia,ceee_equatorial,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2024,12,8515031,20850,5364701.67,1948746.4166666667,23384957,0.00244861116771037,89.15988171370168,0.22940823325011886,257.29984028776977
companhia,Grupo Companhia,ceee_equatorial,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2025,12,8706009,7060,5318498.97,1986613.9166666667,23839367,0.0008109341490457913,29.614880294430634,0.22309732343144847,753.3284660056656
companhia,Grupo Companhia,chesp,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2023,12,27282,14,0.0,40208.166666666664,482498,0.0005131588593211641,2.9015664313634457,0.0,0.0
companhia,Grupo Companhia,chesp,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2024,12,28763,69,0.0,40620.083333333336,487441,0.0023989152730939053,14.155559339489292,0.0,0.0
companhia,Grupo Companhia,chesp,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2025,12,64181,307,309.82,38938.5,467262,0.004783347096492732,65.70189743655594,0.0006630541323711322,1.009185667752443
companhia,Grupo Companhia,cpfl_santa_cruz,COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2023,12,2924577,1267,280367.46790000005,500426.25,6005115,0.00043322504416878064,21.09868004193092,0.04668810970314474,221.28450505130232
companhia,Grupo Companhia,cpfl_santa_cruz,COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2024,12,2171376,1283,482346.8212,509197.8333333333,6110374,0.0005908695684211302,20.99707808392743,0.07893900131154001,375.9523158222915
companhia,Grupo Companhia,cpfl_santa_cruz,COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2025,12,2387897,1436,763491.7206,520105.3333333333,6241264,0.0006013659718153672,23.008159885561643,0.12232966280548299,531.6794711699164
companhia,Grupo Companhia,cpfl_paulista,COMPANHIA PAULISTA DE FORÇA E LUZ,2023,12,35910212,12880,4958174.8692,4911562.833333333,58938754,0.0003586723464623378,21.85319357107549,0.08412418880114092,384.951465
companhia,Grupo Companhia,cpfl_paulista,COMPANHIA PAULISTA DE FORÇA E LUZ,2024,12,25861638,12073,5193360.1075,5001674.166666667,60020090,0.00046683044592921765,20.114931517097027,0.08652702965790288,430.1631829288495
companhia,Grupo Companhia,cpfl_paulista,COMPANHIA PAULISTA DE FORÇA E LUZ,2025,12,27733950,21159,7686946.661800001,5102236.583333333,61226839,0.0007629277473998475,34.55837398367079,0.12554864479938285,363.29442137152046
companhia,Grupo Companhia,cpfl_piratininga,COMPANHIA PIRATININGA DE FORÇA E LUZ,2023,12,9595492,6326,1885966.4926,1923839.6666666667,23086076,0.0006592679145582113,27.40179838271346,0.0816928131311705,298.12938548846034
companhia,Grupo Companhia,cpfl_piratininga,COMPANHIA PIRATININGA DE FORÇA E LUZ,2024,12,8238989,3336,1562654.253,1961197.75,23534373,0.0004049040483001009,14.175011163458656,0.06639880539838473,468.4215386690648
companhia,Grupo Companhia,cpfl_piratininga,COMPANHIA PIRATININGA DE FORÇA E LUZ,2025,12,9834665,4916,1706306.3203999999,1998351.3333333333,23980216,0.0004998645098740018,20.50023235820728,0.07115475191716371,347.0924166802278
companhia,Grupo Companhia,sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2023,12,169074,81,67356.92,166272.66666666666,1995272,0.0004790801660811242,4.059596887040965,0.033758264537366335,831.5669135802469
companhia,Grupo Companhia,sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2024,12,117816,29,5182.74,171246.0,2054952,0.0002461465335777823,1.4112251770357653,0.002522073508286325,178.71517241379308
companhia,Grupo Companhia,sulgipe,COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2025,11,111366,73,18621.35,174596.63636363635,1920563,0.0006554962915072823,3.800968778425909,0.009695776707142644,255.08698630136985
cooperativa,Grupo Cooperativa,cooperalianca,COOPERATIVA ALIANÇA,2023,12,137073,36,433.2,43889.5,526674,0.0002626337790812195,6.835347862244956,0.0008225201927568097,12.033333333333333
cooperativa,Grupo Cooperativa,cooperalianca,COOPERATIVA ALIANÇA,2024,12,137703,34,9628.67,45034.583333333336,540415,0.0002469082009832756,6.29146119186181,0.017817177539483545,283.1961764705882
cooperativa,Grupo Cooperativa,cooperalianca,COOPERATIVA ALIANÇA,2025,11,160164,37,5997.71,45938.27272727273,505321,0.00023101321145825528,7.322078441228447,0.011869108942632505,162.10027027027027
cooperativa,Grupo Cooperativa,creluz_d,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2023,12,38795,19,668.0500000000001,25266.25,303195,0.0004897538342569918,6.266594106103332,0.0022033674697801747,35.160526315789475
cooperativa,Grupo Cooperativa,creluz_d,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2024,12,37124,26,16239.5,25491.25,305895,0.0007003555651330676,8.499648572222494,0.05308847807254123,624.5961538461538
cooperativa,Grupo Cooperativa,creluz_d,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,2025,12,44004,17,4622.89,25825.25,309903,0.00038632851558949186,5.485587425742894,0.014917216032113274,271.93470588235294
cooperativa,Grupo Cooperativa,ceral_anitapolis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2023,12,999,8,0.0,3863.75,46365,0.008008008008008008,17.254394478593767,0.0,0.0
cooperativa,Grupo Cooperativa,ceral_anitapolis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2024,12,864,3,0.0,4052.4166666666665,48629,0.003472222222222222,6.169158321166382,0.0,0.0
cooperativa,Grupo Cooperativa,ceral_anitapolis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2025,12,1458,26,0.0,4129.666666666667,49556,0.01783264746227709,52.46589716684156,0.0,0.0
cooperativa,Grupo Cooperativa,castro_dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2023,12,8602,11,0.0,2327.5,27930,0.0012787723785166241,39.38417472252059,0.0,0.0
cooperativa,Grupo Cooperativa,castro_dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2024,11,8880,6,0.0,2373.3636363636365,26107,0.0006756756756756757,22.982341900639675,0.0,0.0
cooperativa,Grupo Cooperativa,castro_dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2025,12,8650,3,90.86,2413.5833333333335,28963,0.0003468208092485549,10.358043020405345,0.0031371059627800985,30.286666666666665
cooperativa,Grupo Cooperativa,codesam,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE SANTA MARIA,2023,7,540,0,0.0,640.7142857142857,4485,0.0,0.0,0.0,
cooperativa,Grupo Cooperativa,cersad,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2023,12,1520,0,0.0,1377.5833333333333,16531,0.0,0.0,0.0,
cooperativa,Grupo Cooperativa,cersad,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2024,12,1754,12,1240.42,1404.0,16848,0.0068415051311288486,71.22507122507123,0.07362416904083571,103.36833333333334
