group_id,group_label,distributor_id,distributor_label,classe_local_servico,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_fora_prazo,share_compensacao
energisa,Grupo Energisa,energisa_mt,Energisa MT — ENERGISA MATO GROSSO DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,6494202,35910,14280281.59,20876726,0.005529547741200535,172.00972987814276,0.6840287883262921,0.6267562614538791,0.5798899864401208
energisa,Grupo Energisa,energisa_mt,Energisa MT — ENERGISA MATO GROSSO DISTRIBUIDORA DE ENERGIA S.A.,urbana,2025643,12200,7044726.43,20876726,0.006022778939823058,58.438281941335056,0.3374440240294383,0.21293306571254036,0.2860704313301332
energisa,Grupo Energisa,energisa_mt,Energisa MT — ENERGISA MATO GROSSO DISTRIBUIDORA DE ENERGIA S.A.,rural,178449,9185,3300838.13,20876726,0.05147128871554338,43.99636226484938,0.15811090924889276,0.16031067283358058,0.13403958222974605
energisa,Grupo Energisa,energisa_mt,Energisa MT — ENERGISA MATO GROSSO DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,722,0,0.0,20876726,0.0,0.0,0.0,0.0,0.0
energisa,Grupo Energisa,energisa_minas_rio,Energisa Minas Rio — ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,1276287,6391,1042022.952845,7153002,0.0050074943958529705,89.34710209783249,0.1456763122455439,0.6350357710651828,0.46563583933988323
energisa,Grupo Energisa,energisa_minas_rio,Energisa Minas Rio — ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,urbana,482326,1975,677589.26,7153002,0.004094740901382053,27.610784954345043,0.09472795617839895,0.19624403815580285,0.3027858867660876
energisa,Grupo Energisa,energisa_minas_rio,Energisa Minas Rio — ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,rural,69831,1698,518237.33568254,7153002,0.024315848262233104,23.738284988596398,0.07245032724477639,0.16872019077901432,0.23157827389402907
energisa,Grupo Energisa,energisa_minas_rio,Energisa Minas Rio — ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,1,0,0.0,7153002,0.0,0.0,0.0,0.0,0.0
energisa,Grupo Energisa,energisa_pb,Energisa PB — ENERGISA PARAÍBA DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,3323260,29342,5311828.41,21501801,0.008829282090477423,136.4629874492839,0.24704109251127382,0.5056785868160276,0.5253577992820744
energisa,Grupo Energisa,energisa_pb,Energisa PB — ENERGISA PARAÍBA DISTRIBUIDORA DE ENERGIA S.A.,urbana,1251259,23242,3978188.09,21501801,0.01857489136941273,108.09327088461102,0.18501650582665144,0.40055148642826366,0.39345626002489015
energisa,Grupo Energisa,energisa_pb,Energisa PB — ENERGISA PARAÍBA DISTRIBUIDORA DE ENERGIA S.A.,rural,200098,5441,820861.11,21501801,0.027191676078721427,25.304857021046747,0.03817638857321766,0.09376992675570875,0.08118594069303545
energisa,Grupo Energisa,energisa_pb,Energisa PB — ENERGISA PARAÍBA DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,7,0,0.0,21501801,0.0,0.0,0.0,0.0,0.0
energisa,Grupo Energisa,energisa_ro,Energisa RO — ENERGISA RONDÔNIA DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,2520730,17605,7230122.43,8280268,0.006984087942778481,212.61389124120137,0.8731749298452658,0.5422930014785609,0.4486701845702317
energisa,Grupo Energisa,energisa_ro,Energisa RO — ENERGISA RONDÔNIA DISTRIBUIDORA DE ENERGIA S.A.,urbana,992133,9866,4881116.61,8280268,0.009944231267380482,119.15073280236822,0.5894877569180128,0.30390586495810745,0.30290102436308597
energisa,Grupo Energisa,energisa_ro,Energisa RO — ENERGISA RONDÔNIA DISTRIBUIDORA DE ENERGIA S.A.,rural,80615,4993,4003320.56,8280268,0.061936364200210876,60.29998062864632,0.48347717247799227,0.1538011335633317,0.24842879106668234
energisa,Grupo Energisa,energisa_ro,Energisa RO — ENERGISA RONDÔNIA DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,20,0,0.0,8280268,0.0,0.0,0.0,0.0,0.0
energisa,Grupo Energisa,energisa_se,Energisa SE — ENERGISA SERGIPE DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,1525603,6546,1304824.36,11111499,0.0042907624067336,58.911943384056464,0.11743009291545634,0.5266291230893001,0.5171023720372173
energisa,Grupo Energisa,energisa_se,Energisa SE — ENERGISA SERGIPE DISTRIBUIDORA DE ENERGIA S.A.,urbana,473275,3606,792468.05,11111499,0.007619248851090803,32.452867070410576,0.07131963473155152,0.2901045856798069,0.31405537862483507
energisa,Grupo Energisa,energisa_se,Energisa SE — ENERGISA SERGIPE DISTRIBUIDORA DE ENERGIA S.A.,rural,138249,2278,426046.16000000003,11111499,0.016477515208066604,20.501284300165082,0.0383428158522986,0.183266291230893,0.16884224933794753
energisa,Grupo Energisa,energisa_se,Energisa SE — ENERGISA SERGIPE DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,19,0,0.0,11111499,0.0,0.0,0.0,0.0,0.0
energisa,Grupo Energisa,energisa_sul_sudeste,Energisa Sul-Sudeste — ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,2047067,6413,1616333.73,11169533,0.0031327748432269193,57.41511305799446,0.14470915928177122,0.5193553611920959,0.4515547551548834
energisa,Grupo Energisa,energisa_sul_sudeste,Energisa Sul-Sudeste — ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,urbana,755833,5213,1534268.019525,11169533,0.006897026194939888,46.671602116220974,0.13736187712816642,0.42217363135730485,0.4286280778775675
energisa,Grupo Energisa,energisa_sul_sudeste,Energisa Sul-Sudeste — ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,rural,55465,722,428883.820161,11169533,0.013017218065446678,6.464012416633713,0.03839765012207762,0.058471007450599286,0.11981716696754909
energisa,Grupo Energisa,energisa_sul_sudeste,Energisa Sul-Sudeste — ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,139,0,0.0,11169533,0.0,0.0,0.0,0.0,0.0
energisa,Grupo Energisa,energisa_to,Energisa TO — ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,nao_classificado,1918152,7158,1910367.78,8511425,0.003731716777398246,84.09872612400392,0.22444746678728886,0.50809199318569,0.5318737632905117
energisa,Grupo Energisa,energisa_to,Energisa TO — ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,urbana,842598,5528,1344337.26,8511425,0.006560661193119376,64.94799636958558,0.15794502800647364,0.39239068710959685,0.37428275596642185
energisa,Grupo Energisa,energisa_to,Energisa TO — ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,rural,80350,1402,337064.12,8511425,0.01744866210329807,16.471977371591716,0.0396013734480419,0.09951731970471323,0.09384348074306646
energisa,Grupo Energisa,energisa_to,Energisa TO — ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,grupo_a,66,0,0.0,8511425,0.0,0.0,0.0,0.0,0.0
equatorial,Grupo Equatorial,cea_equatorial,CEA Equatorial — COMPANHIA DE ELETRICIDADE DO AMAPA,nao_classificado,306760,5250,2148286.92,2977801,0.017114356500195594,176.30459523655207,0.7214340112049126,0.7506434086359737,0.7831184258666068
equatorial,Grupo Equatorial,cea_equatorial,CEA Equatorial — COMPANHIA DE ELETRICIDADE DO AMAPA,urbana,275643,1561,553303.91,2977801,0.005663122226938468,52.421232983668155,0.1858095655149555,0.2231913068344295,0.20169674869362364
equatorial,Grupo Equatorial,cea_equatorial,CEA Equatorial — COMPANHIA DE ELETRICIDADE DO AMAPA,rural,12016,183,41655.72,2977801,0.015229693741677763,6.145474462531243,0.013988752102642185,0.026165284529596797,0.015184825439769532
equatorial,Grupo Equatorial,cea_equatorial,CEA Equatorial — COMPANHIA DE ELETRICIDADE DO AMAPA,grupo_a,0,0,0.0,2977801,,0.0,0.0,0.0,0.0
equatorial,Grupo Equatorial,ceee_equatorial,CEEE Equatorial — COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,nao_classificado,26019777,28675,10764376.91,22561437,0.0011020463395977605,127.0974007551026,0.47711397594045096,0.7720578336609139,0.6766220430798531
equatorial,Grupo Equatorial,ceee_equatorial,CEEE Equatorial — COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,urbana,1558240,6722,4134602.9499999997,22561437,0.004313841256802547,29.794201495232773,0.18325973429795273,0.18098597237554184,0.2598908899923486
equatorial,Grupo Equatorial,ceee_equatorial,CEEE Equatorial — COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,rural,49704,1728,832457.69,22561437,0.03476581361661033,7.659086608712024,0.03689737005670339,0.046525403193236586,0.05232622637563653
equatorial,Grupo Equatorial,ceee_equatorial,CEEE Equatorial — COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,grupo_a,592,16,177557.76,22561437,0.02702702702702703,0.07091746859918542,0.007869966793338562,0.00043079077030774615,0.011160840552161808
