group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
neoenergia,Grupo Neoenergia,neoenergia_pernambuco,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2023,1165310,20333,10499861.71,48212294,0.01744857591542165,42.17389033593797,0.21778390611324158,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_pernambuco,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2024,1331921,10914,11363770.79,0,0.008194179684831158,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_pernambuco,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2025,1464831,8895,6894282.01,0,0.00607237285393332,,,sem_cod_69_93
neoenergia,Grupo Neoenergia,neoenergia_pernambuco,Neoenergia Pernambuco — COMPANHIA ENERGÉTICA DE PERNAMBUCO,2026,532038,2151,1366919.14,0,0.004042944300970983,,,sem_cod_69_93
nova,Grupo NOVA,nova_palma,Nova Palma — NOVA PALMA ENERGIA LTDA.,2023,9083,36,0.0,206717,0.003963448199933942,17.415113415926122,0.0,sem_cod_69_93
nova,Grupo NOVA,nova_palma,Nova Palma — NOVA PALMA ENERGIA LTDA.,2024,6573,32,4248.08,0,0.00486840103453522,,,sem_cod_69_93
nova,Grupo NOVA,nova_palma,Nova Palma — NOVA PALMA ENERGIA LTDA.,2025,10737,29,634.41,0,0.0027009406724410917,,,sem_cod_69_93
nova,Grupo NOVA,nova_palma,Nova Palma — NOVA PALMA ENERGIA LTDA.,2026,2923,3,0.0,0,0.0010263427984946972,,,sem_cod_69_93
rge,Grupo RGE,rge,RGE — RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,2023,1837843,2217,1652299.2352,37042148,0.0012063054352303216,5.985074083716744,0.04460592391132393,sem_cod_69_93
rge,Grupo RGE,rge,RGE — RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,2024,2926446,7300,3827325.8429,3103404,0.002494493320566995,235.22557810713658,1.2332670328774469,sem_cod_69_93
rge,Grupo RGE,rge,RGE — RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,2025,3759784,3561,2613479.6466,0,0.0009471288776163737,,,sem_cod_69_93
rge,Grupo RGE,rge,RGE — RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,2026,1204947,1418,1149006.27,0,0.001176815245815791,,,sem_cod_69_93
roraima,Grupo Roraima,roraima_energia,Roraima Energia — RORAIMA ENERGIA S.A.,2023,116080,924,332361.17000000004,2536562,0.007960027567195037,36.42725862801698,0.13102820668290388,sem_cod_69_93
roraima,Grupo Roraima,roraima_energia,Roraima Energia — RORAIMA ENERGIA S.A.,2024,132268,1346,630941.3200000001,0,0.010176308706565457,,,sem_cod_69_93
roraima,Grupo Roraima,roraima_energia,Roraima Energia — RORAIMA ENERGIA S.A.,2025,119360,792,367913.61,0,0.006635388739946381,,,sem_cod_69_93
roraima,Grupo Roraima,roraima_energia,Roraima Energia — RORAIMA ENERGIA S.A.,2026,43037,214,34721.4,0,0.004972465552896345,,,sem_cod_69_93
santa,Grupo Santa,santa_maria,Santa Maria — EMPRESA LUZ E FORÇA SANTA MARIA S.A.,2023,50670,253,89574.26,1650186,0.00499309255970002,15.33160504331027,0.05428131131884527,sem_cod_69_93
santa,Grupo Santa,santa_maria,Santa Maria — EMPRESA LUZ E FORÇA SANTA MARIA S.A.,2024,54044,384,141437.14,0,0.007105321589815705,,,sem_cod_69_93
santa,Grupo Santa,santa_maria,Santa Maria — EMPRESA LUZ E FORÇA SANTA MARIA S.A.,2025,65714,57,7844.3099999999995,0,0.0008673950756307636,,,sem_cod_69_93
santa,Grupo Santa,santa_maria,Santa Maria — EMPRESA LUZ E FORÇA SANTA MARIA S.A.,2026,25114,18,6580.719999999999,0,0.0007167317034323485,,,sem_cod_69_93
sulgipe,Grupo Sulgipe,sulgipe,Sulgipe — COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2023,54059,81,67356.92,2015858,0.0014983628997946687,4.0181401666188785,0.0334135241668808,sem_cod_69_93
sulgipe,Grupo Sulgipe,sulgipe,Sulgipe — COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2024,47550,29,5182.74,0,0.0006098843322818086,,,sem_cod_69_93
sulgipe,Grupo Sulgipe,sulgipe,Sulgipe — COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2025,50269,75,19385.53,0,0.0014919731842686348,,,sem_cod_69_93
sulgipe,Grupo Sulgipe,sulgipe,Sulgipe — COMPANHIA SUL SERGIPANA DE ELETRICIDADE,2026,21286,10,6119.33,0,0.000469792351780513,,,sem_cod_69_93
