group_id,group_label,distributor_id,distributor_label,ano_inicio,ano_fim,taxa_inicio,taxa_fim,delta_taxa_abs,delta_taxa_pct,compensacao_inicio,compensacao_fim,delta_comp_abs,delta_comp_pct
ceripa,Grupo Ceripa,ceripa,CERIPa,2011,2023,0.07242339832869081,0.0005605381165919282,-0.07186286021209888,-0.9922602621593652,1.66,45.36,43.7,26.32530120481928
ceris,Grupo Ceris,ceris,CERIS,2011,2023,0.039603960396039604,0.0026507620941020544,-0.03695319830193755,-0.9330682571239232,97.59,12.61,-84.98,-0.8707859411824982
cermc,Grupo Cermc,cermc,CERMC,2011,2023,0.0,0.0384967919340055,0.0384967919340055,,0.0,698.49,698.49,
cermissoes,Grupo Cermissoes,cermissoes,CERMISSÕES,2011,2023,0.09391395592864638,0.03607749120296972,-0.057836464725676655,-0.6158452612689369,1162.94,9618.07,8455.13,7.270478270590056
cermoful,Grupo Cermoful,cermoful,CERMOFUL,2011,2023,0.007954545454545454,0.009039010466222646,0.001084465011677192,0.13633274432513276,6.89,0.0,-6.89,-1.0
cernhe,Grupo Cernhe,cernhe,CERNHE,2012,2023,0.0011737089201877935,0.037894736842105266,0.03672102792191747,31.286315789473683,2.1,4880.639999999999,4878.539999999999,2323.1142857142854
cerpalo,Grupo Cerpalo,cerpalo,CERPALO,2011,2023,0.029023746701846966,0.0027070925825663237,-0.026316654119280643,-0.9067283555643058,484.59,2666.38,2181.79,4.502342186178007
cerpro,Grupo Cerpro,cerpro,CERPRO,2011,2023,0.0,0.027450980392156862,0.027450980392156862,,0.0,0.0,0.0,
cerr,Grupo CERR,cerr,CERR,2014,2016,0.0,0.062127659574468086,0.062127659574468086,,0.0,2820.9799999999996,2820.9799999999996,
cerrp,Grupo Cerrp,cerrp,CERRP,2011,2023,0.15,0.009183996621978253,-0.14081600337802175,-0.9387733558534783,355.16999999999996,289.28999999999996,-65.88,-0.18548863924317938
cersad,Grupo Cersad,cersad_distribui,CERSAD DISTRIBUI,2020,2023,0.04938271604938271,0.0,-0.04938271604938271,-1.0,39.01,0.0,-39.01,-1.0
cersul,Grupo Cersul,cersul,CERSUL,2011,2023,0.00881704628949302,0.006172839506172839,-0.002644206783320181,-0.2998971193415638,57.23,183.88000000000002,126.65000000000003,2.213000174733532
certaja,Grupo Certaja,certaja,CERTAJA,2011,2023,0.03592689295039165,0.003662420382165605,-0.032264472568226045,-0.8980590838394312,1261.49,60.660000000000004,-1200.83,-0.9519140064526869
certel,Grupo Certel,certel_energia,CERTEL ENERGIA,2012,2023,0.04326438689029811,0.011785678914529068,-0.031478707975769044,-0.7275893694180151,6062.63,5132.6900000000005,-929.9399999999996,-0.15338887578493154
certhil,Grupo Certhil,certhil,CERTHIL,2019,2023,0.0,0.004552352048558422,0.004552352048558422,,22.28,60.57,38.29,1.718581687612208
certrel,Grupo Certrel,certrel,CERTREL,2011,2023,0.07377049180327869,0.008528784648187633,-0.06524170715509106,-0.8843875858801232,1223.56,759.1899999999999,-464.37,-0.3795236849847985
cervam,Grupo Cervam,cervam,CERVAM,2019,2023,0.0,0.0035842293906810036,0.0035842293906810036,,0.0,18.93,18.93,
cetril,Grupo Cetril,cetril,CETRIL,2011,2023,0.13321799307958476,0.004593273077492962,-0.1286247200020918,-0.9655206254702476,753.05,73.95,-679.0999999999999,-0.9017993493127946
cflo,Grupo CFLO,cflo,CFLO,2011,2017,0.003667033370003667,0.007350512058143376,0.0036834786881397093,1.0044846382556987,356.48,2463.73,2107.25,5.91127131956912
chesp,Grupo Chesp,chesp,CHESP,2011,2023,0.002378892733564014,0.002986482238289846,0.0006075895047258323,0.2554085336229317,372.14,547.79,175.64999999999998,0.47199978502714024
cnee,Grupo CNEE,cnee,CNEE,2011,2017,0.004534657741308573,0.014613241911292051,0.010078584169983478,2.2225677757711186,365.17,7064.87,6699.7,18.346797382041238
cocel,Grupo Cocel,cocel,COCEL,2011,2023,0.013694878115584772,0.02155388471177945,0.007859006596194679,0.5738646616541354,1740.77,1185.58,-555.19,-0.3189335753718182
codesam,Grupo Codesam,codesam,CODESAM,2020,2021,,,,,0.0,0.0,0.0,
coelba,Grupo Coelba,coelba,COELBA,2011,2023,0.020913219552304182,0.03372365717373813,0.01281043762143395,0.6125521510160075,5601.06,3698301.5100000002,3692700.45,659.2860012211975
coopera,Grupo Coopera,coopera,COOPERA,2011,2023,0.03453858607663249,0.0044204322200392925,-0.030118153856593194,-0.8720146733791748,395.09000000000003,278.56,-116.53000000000003,-0.2949454554658433
