group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,meses_faltantes
cerpro,Grupo Cerpro,cerpro,Cerpro — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2024,12,
cerpro,Grupo Cerpro,cerpro,Cerpro — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2025,12,
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2023,12,
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2024,12,
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2025,11,12
cersad,Grupo Cersad,cersad,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2023,12,
cersad,Grupo Cersad,cersad,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2024,12,
cersad,Grupo Cersad,cersad,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2025,12,
cersul,Grupo Cersul,cersul,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2023,12,
cersul,Grupo Cersul,cersul,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2024,12,
cersul,Grupo Cersul,cersul,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2025,12,
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,2023,12,
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,2024,11,5
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,2025,12,
certel,Grupo Certel,certel_energia,Certel Energia — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2023,12,
certel,Grupo Certel,certel_energia,Certel Energia — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2024,12,
certel,Grupo Certel,certel_energia,Certel Energia — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,2025,12,
certhil,Grupo Certhil,certhil,Certhil — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2023,12,
certhil,Grupo Certhil,certhil,Certhil — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2024,12,
certhil,Grupo Certhil,certhil,Certhil — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,2025,12,
certrel,Grupo Certrel,certrel,Certrel — COOPERATIVA DE ENERGIA TREVISO,2023,12,
certrel,Grupo Certrel,certrel,Certrel — COOPERATIVA DE ENERGIA TREVISO,2024,12,
certrel,Grupo Certrel,certrel,Certrel — COOPERATIVA DE ENERGIA TREVISO,2025,12,
cervam,Grupo Cervam,cervam,Cervam — COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,2023,12,
cervam,Grupo Cervam,cervam,Cervam — COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,2024,12,
cervam,Grupo Cervam,cervam,Cervam — COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,2025,12,
cetril,Grupo Cetril,cetril,Cetril — COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,2023,12,
cetril,Grupo Cetril,cetril,Cetril — COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,2024,12,
cetril,Grupo Cetril,cetril,Cetril — COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,2025,12,
chesp,Grupo Chesp,chesp,Chesp — COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2023,12,
chesp,Grupo Chesp,chesp,Chesp — COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2024,12,
chesp,Grupo Chesp,chesp,Chesp — COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,2025,12,
cocel,Grupo Cocel,cocel,Cocel — COMPANHIA CAMPOLARGUENSE DE ENERGIA,2023,12,
cocel,Grupo Cocel,cocel,Cocel — COMPANHIA CAMPOLARGUENSE DE ENERGIA,2024,12,
cocel,Grupo Cocel,cocel,Cocel — COMPANHIA CAMPOLARGUENSE DE ENERGIA,2025,10,"6,12"
codesam,Grupo Codesam,codesam,Codesam — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE SANTA MARIA,2023,7,"1,9,10,11,12"
coopera,Grupo Coopera,coopera,Coopera — COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,2023,12,
coopera,Grupo Coopera,coopera,Coopera — COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,2024,12,
coopera,Grupo Coopera,coopera,Coopera — COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,2025,12,
cooperalianca,Grupo Cooperalianca,cooperalianca,Cooperaliança — COOPERATIVA ALIANÇA,2023,12,
cooperalianca,Grupo Cooperalianca,cooperalianca,Cooperaliança — COOPERATIVA ALIANÇA,2024,12,
cooperalianca,Grupo Cooperalianca,cooperalianca,Cooperaliança — COOPERATIVA ALIANÇA,2025,11,12
coopercocal,Grupo Coopercocal,coopercocal,Coopercocal — COOPERATIVA ENERGÉTICA COCAL,2023,12,
coopercocal,Grupo Coopercocal,coopercocal,Coopercocal — COOPERATIVA ENERGÉTICA COCAL,2024,12,
coopercocal,Grupo Coopercocal,coopercocal,Coopercocal — COOPERATIVA ENERGÉTICA COCAL,2025,12,
cooperluz,Grupo Cooperluz,cooperluz,Cooperluz — COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,2023,12,
cooperluz,Grupo Cooperluz,cooperluz,Cooperluz — COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,2024,12,
cooperluz,Grupo Cooperluz,cooperluz,Cooperluz — COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,2025,12,
coopermila,Grupo Coopermila,coopermila,Coopermila — COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,2023,12,
coopermila,Grupo Coopermila,coopermila,Coopermila — COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,2024,12,
coopermila,Grupo Coopermila,coopermila,Coopermila — COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,2025,12,
coopernorte,Grupo Coopernorte,coopernorte,Coopernorte — COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE,2023,12,
coopernorte,Grupo Coopernorte,coopernorte,Coopernorte — COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE,2024,12,
coopernorte,Grupo Coopernorte,coopernorte,Coopernorte — COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE,2025,12,
coopersul,Grupo Coopersul,coopersul,Coopersul — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,2023,12,
coopersul,Grupo Coopersul,coopersul,Coopersul — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,2024,12,
coopersul,Grupo Coopersul,coopersul,Coopersul — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,2025,4,"5,6,7,8,9,10,11,12"
cooperzem,Grupo Cooperzem,cooperzem,Cooperzem — COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2023,12,
cooperzem,Grupo Cooperzem,cooperzem,Cooperzem — COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2024,12,
cooperzem,Grupo Cooperzem,cooperzem,Cooperzem — COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,2025,12,
coorsel,Grupo Coorsel,coorsel,Coorsel — COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,2023,12,
coorsel,Grupo Coorsel,coorsel,Coorsel — COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,2024,12,
coorsel,Grupo Coorsel,coorsel,Coorsel — COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,2025,12,
copel_dis,Grupo Copel DIS,copel_dis,Copel-Dis — COPEL DISTRIBUIÇÃO S.A.,2023,12,
copel_dis,Grupo Copel DIS,copel_dis,Copel-Dis — COPEL DISTRIBUIÇÃO S.A.,2024,12,
copel_dis,Grupo Copel DIS,copel_dis,Copel-Dis — COPEL DISTRIBUIÇÃO S.A.,2025,12,
coprel,Grupo Coprel,coprel,Coprel — COPREL COOPERATIVA DE ENERGIA,2023,12,
coprel,Grupo Coprel,coprel,Coprel — COPREL COOPERATIVA DE ENERGIA,2024,12,
coprel,Grupo Coprel,coprel,Coprel — COPREL COOPERATIVA DE ENERGIA,2025,11,12
cpfl,Grupo CPFL,cpfl_paulista,CPFL Paulista — COMPANHIA PAULISTA DE FORÇA E LUZ,2023,12,
cpfl,Grupo CPFL,cpfl_paulista,CPFL Paulista — COMPANHIA PAULISTA DE FORÇA E LUZ,2024,12,
cpfl,Grupo CPFL,cpfl_paulista,CPFL Paulista — COMPANHIA PAULISTA DE FORÇA E LUZ,2025,12,
cpfl,Grupo CPFL,cpfl_piratininga,CPFL Piratininga — COMPANHIA PIRATININGA DE FORÇA E LUZ,2023,12,
cpfl,Grupo CPFL,cpfl_piratininga,CPFL Piratininga — COMPANHIA PIRATININGA DE FORÇA E LUZ,2024,12,
cpfl,Grupo CPFL,cpfl_piratininga,CPFL Piratininga — COMPANHIA PIRATININGA DE FORÇA E LUZ,2025,12,
cpfl,Grupo CPFL,cpfl_santa_cruz,CPFL Santa Cruz — COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2023,12,
cpfl,Grupo CPFL,cpfl_santa_cruz,CPFL Santa Cruz — COMPANHIA JAGUARI DE ENERGIA - CPFL SANTA CRUZ,2024,12,
