ano,mes,group_id,distributor_id,sigagente,nomagente,distributor_name_sig,distributor_name_legal,distributor_label,uc_ativa_mes,bucket_porte,rank_porte_ano,uc_ativa_media_mensal,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs,periodo_regulatorio,ano_comparavel_principal,group_label
2025,4,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1185145,G,27,1191364.8333333333,50557,172,58682.59,0.003402100599323536,14.512992081137751,0.04951511418434031,341.1778488372093,pos_2022,True,Grupo Amazonas
2025,5,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1186861,G,27,1191364.8333333333,52587,188,41209.380000000005,0.0035750280487572973,15.84010258994103,0.03472131951424809,219.19882978723408,pos_2022,True,Grupo Amazonas
2025,6,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1189065,G,27,1191364.8333333333,47720,125,28832.48,0.002619446772841576,10.512461471828706,0.02424802681098174,230.65984,pos_2022,True,Grupo Amazonas
2025,7,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1191637,G,27,1191364.8333333333,52341,208,42427.18,0.00397394012342141,17.454979998103447,0.03560411434018917,203.9768269230769,pos_2022,True,Grupo Amazonas
2025,8,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1194430,G,27,1191364.8333333333,47715,167,31781.82,0.0034999476055747668,13.981564428220992,0.02660835712431871,190.3102994011976,pos_2022,True,Grupo Amazonas
2025,9,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1195645,G,27,1191364.8333333333,48425,151,34926.8,0.0031182240578213733,12.629166684091013,0.029211680724629804,231.30331125827817,pos_2022,True,Grupo Amazonas
2025,10,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1197157,G,27,1191364.8333333333,48190,336,78347.59999999999,0.006972400913052501,28.06649420251479,0.06544471610657582,233.17738095238093,pos_2022,True,Grupo Amazonas
2025,11,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1198649,G,27,1191364.8333333333,41964,244,51451.39,0.0058145076732437325,20.356251079340158,0.042924484148403746,210.86635245901638,pos_2022,True,Grupo Amazonas
2025,12,amazonas,amazonas_energia,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia,AMAZONAS ENERGIA S.A.,Amazonas Energia — AMAZONAS ENERGIA S.A.,1199906,G,27,1191364.8333333333,41282,299,85623.01,0.007242866140206385,24.91861862512564,0.071358098051014,286.36458193979934,pos_2022,True,Grupo Amazonas
2023,1,castro_dis,castro_dis,Castro-Dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,Castro-Dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2304,P,98,2327.5,567,2,0.0,0.003527336860670194,86.80555555555556,0.0,0.0,pos_2022,True,Grupo Castro DIS
2023,2,castro_dis,castro_dis,Castro-Dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,Castro-Dis,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,Castro-Dis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,2311,P,98,2327.5,644,0,0.0,0.0,0.0,0.0,,pos_2022,True,Grupo Castro DIS
