group_id,group_label,distributor_id,distributor_label,taxa_fora_prazo_2023,taxa_fora_prazo_2026,delta_taxa_fora_prazo_abs,delta_taxa_fora_prazo_pct,fora_prazo_por_100k_uc_mes_2023,fora_prazo_por_100k_uc_mes_2026,delta_fora_prazo_por_100k_uc_mes_abs,delta_fora_prazo_por_100k_uc_mes_pct,compensacao_rs_por_uc_mes_2023,compensacao_rs_por_uc_mes_2026,delta_compensacao_rs_por_uc_mes_abs,delta_compensacao_rs_por_uc_mes_pct,compensacao_media_por_transgressao_rs_2023,compensacao_media_por_transgressao_rs_2026,delta_compensacao_media_por_transgressao_rs_abs,delta_compensacao_media_por_transgressao_rs_pct
chesp,Grupo Chesp,chesp,Chesp — COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO,0.0005131588593211641,0.004275564985373067,0.0037624061260519027,7.331854566496286,5.635390250774867,,,,0.0,,,,0.0,2.442781954887218,2.442781954887218,
cocel,Grupo Cocel,cocel,Cocel — COMPANHIA CAMPOLARGUENSE DE ENERGIA,0.0007240531425850155,0.0005148428086318327,-0.00020921033395318285,-0.28894334082476303,21.042820020336684,,,,0.02300131341091402,,,,109.30718120805368,779.043829787234,669.7366485791804,6.127105659274238
codesam,Grupo Codesam,codesam,Codesam — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE SANTA MARIA,0.0,,,,0.0,,,,0.0,,,,,,,
coopera,Grupo Coopera,coopera,Coopera — COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO,0.0007141881885876928,0.00024878716258241074,-0.0004654010260052821,-0.6516504101329548,20.869010133745803,,,,0.024372364520227594,,,,116.78735294117647,225.685,108.89764705882354,0.9324438333119269
cooperalianca,Grupo Cooperalianca,cooperalianca,Cooperaliança — COOPERATIVA ALIANÇA,0.0002626337790812195,0.00024217559154949642,-2.045818753172306e-05,-0.07789625387599652,6.835347862244956,,,,0.0008225201927568097,,,,12.033333333333333,77.99882352941177,65.96549019607843,5.4818966921948835
coopercocal,Grupo Coopercocal,coopercocal,Coopercocal — COOPERATIVA ENERGÉTICA COCAL,7.763372408974459e-05,0.0,-7.763372408974459e-05,-1.0,2.1292149584448214,,,,0.0,,,,0.0,,,
cooperluz,Grupo Cooperluz,cooperluz,Cooperluz — COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,0.0001012829169480081,0.0002670940170940171,0.00016581110014600903,1.6371082621082622,1.4698245029543473,,,,0.0,,,,0.0,0.0,0.0,
coopermila,Grupo Coopermila,coopermila,Coopermila — COOPERATIVA DE ELETRIFICAÇÃO LAURO MÜLLER,0.002145922746781116,0.0,-0.002145922746781116,-1.0,12.17952621643018,,,,0.026164058218135312,,,,214.82,,,
coopernorte,Grupo Coopernorte,coopernorte,Coopernorte — COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE,0.0009402164271775767,0.0002613012803762738,-0.0006789151468013029,-0.722083902362065,63.310040016723406,,,,0.03944908319894881,,,,62.31094339622641,279.588,217.27705660377362,3.486980693297159
coopersul,Grupo Coopersul,coopersul,Coopersul — COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,0.005995152855138399,,,,350.9907398187793,,,,1.43466817683959,,,,408.74815602836884,,,
