group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
ceprag,Grupo Ceprag,ceprag,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2025,12,69141,59,2698.89,,0,0.000853328705109848,,,45.74389830508474
ceprag,Grupo Ceprag,ceprag,Ceprag — COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,2026,2,8413,5,1038.2,,0,0.0005943183168905266,,,207.64000000000001
ceraca,Grupo Ceraca,ceraca,Ceraçá — COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,2023,12,25139,80,314.91999999999996,12715.583333333334,152587,0.003182306376546402,52.42910601820601,0.002063871758406679,3.9364999999999997
ceraca,Grupo Ceraca,ceraca,Ceraçá — COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,2024,12,30611,35,11028.779999999999,12845.0,12845,0.001143379830779785,272.4795640326975,0.8586049046321524,315.10799999999995
ceraca,Grupo Ceraca,ceraca,Ceraçá — COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,2025,12,41658,47,6633.79,,0,0.001128234672811945,,,141.14446808510638
ceraca,Grupo Ceraca,ceraca,Ceraçá — COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,2026,4,21055,18,4139.55,,0,0.0008549038233198765,,,229.97500000000002
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2023,12,999,8,0.0,3859.0,42449,0.008008008008008008,18.846144785507317,0.0,0.0
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2024,12,864,3,0.0,,0,0.003472222222222222,,,0.0
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2025,12,1458,26,0.0,,0,0.01783264746227709,,,0.0
ceral,Grupo Ceral,ceral_anitapolis,Ceral Anitápolis — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS,2026,4,598,4,0.0,,0,0.006688963210702341,,,0.0
ceral,Grupo Ceral,ceral_araruama,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2023,12,32048,13,0.0,7481.5,89778,0.0004056415376934598,14.480162177816391,0.0,0.0
ceral,Grupo Ceral,ceral_araruama,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2024,12,33548,9,3154.5899999999997,7639.0,7639,0.0002682723262191487,117.81646812410003,0.4129585024217829,350.51
ceral,Grupo Ceral,ceral_araruama,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2025,12,28912,13,571.8399999999999,,0,0.0004496402877697842,,,43.9876923076923
ceral,Grupo Ceral,ceral_araruama,Ceral Araruama — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2026,4,9485,5,128.32,,0,0.0005271481286241434,,,25.663999999999998
cerbranorte,Grupo Cerbranorte,cerbranorte,Cerbranorte — COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2023,12,58036,21,1189.3400000000001,17948.333333333332,215380,0.00036184437245847406,9.750208933048565,0.005522054044015229,56.6352380952381
cerbranorte,Grupo Cerbranorte,cerbranorte,Cerbranorte — COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2024,12,58676,12,2249.85,,0,0.00020451291839934557,,,187.48749999999998
cerbranorte,Grupo Cerbranorte,cerbranorte,Cerbranorte — COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2025,12,84858,16,5275.59,,0,0.00018855028400386527,,,329.724375
cerbranorte,Grupo Cerbranorte,cerbranorte,Cerbranorte — COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,2026,4,56255,3,786.62,,0,5.3328593013954316e-05,,,262.20666666666665
cerci,Grupo Cerci,cerci,Cerci — COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2023,12,40632,155,311.33000000000004,17916.583333333332,214999,0.0038147273085253003,72.09335857376081,0.0014480532467592874,2.0085806451612904
cerci,Grupo Cerci,cerci,Cerci — COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2024,12,55845,462,103.1,,0,0.008272898200376041,,,0.22316017316017314
cerci,Grupo Cerci,cerci,Cerci — COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2025,12,48437,348,1.37,,0,0.0071845902925449555,,,0.003936781609195403
cerci,Grupo Cerci,cerci,Cerci — COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS- ITABORAÍ LTDA,2026,4,15646,205,571.22,,0,0.013102390387319442,,,2.786439024390244
cercos,Grupo Cercos,cercos,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2023,12,3388,68,16964.96,7535.666666666667,45214,0.020070838252656435,150.39589507674614,0.3752147564913522,249.48470588235293
cercos,Grupo Cercos,cercos,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2024,12,3850,38,20817.6,,0,0.009870129870129871,,,547.8315789473684
cercos,Grupo Cercos,cercos,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2025,12,3780,5,4179.63,,0,0.0013227513227513227,,,835.926
cercos,Grupo Cercos,cercos,Cercos — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,2026,4,1985,1,1050.4299999999998,,0,0.0005037783375314861,,,1050.4299999999998
cerej,Grupo Cerej,cerej,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2023,12,46985,123,0.0,15462.833333333334,185554,0.002617856762796637,66.28798085732454,0.0,0.0
cerej,Grupo Cerej,cerej,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2024,12,56676,45,12534.93,,0,0.0007939868727503706,,,278.55400000000003
cerej,Grupo Cerej,cerej,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2025,12,66844,74,7032.2,,0,0.0011070552330800071,,,95.02972972972972
cerej,Grupo Cerej,cerej,Cerej — COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2026,4,23563,21,2862.17,,0,0.0008912277723549633,,,136.29380952380953
ceres,Grupo Ceres,ceres,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2023,12,7358,118,595.05,5811.25,69735,0.016036966567001903,169.2120169212017,0.008533017853301786,5.042796610169491
ceres,Grupo Ceres,ceres,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2024,12,17880,75,0.0,5870.0,5870,0.0041946308724832215,1277.6831345826236,0.0,0.0
ceres,Grupo Ceres,ceres,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2025,12,15990,53,278.57,,0,0.003314571607254534,,,5.256037735849056
ceres,Grupo Ceres,ceres,Ceres — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2026,4,4885,24,0.0,,0,0.004912998976458547,,,0.0
cerfox,Grupo Cerfox,cerfox,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2023,12,30678,154,88.27,16135.916666666666,193631,0.005019883955929331,79.53271945091437,0.0004558670873981955,0.5731818181818181
cerfox,Grupo Cerfox,cerfox,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2024,12,30545,53,3988.45,,0,0.0017351448682272057,,,75.25377358490566
cerfox,Grupo Cerfox,cerfox,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2025,12,32937,56,13480.23,,0,0.0017002155630446002,,,240.71839285714285
cerfox,Grupo Cerfox,cerfox,Cerfox — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,2026,4,12032,6,777.38,,0,0.0004986702127659574,,,129.56333333333333
cergal,Grupo Cergal,cergal,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2023,12,55241,41,251.44,20326.333333333332,243916,0.0007422023497040242,16.809065415962873,0.0010308466849243182,6.132682926829268
cergal,Grupo Cergal,cergal,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2024,12,49821,19,1587.5900000000001,20522.0,20522,0.00038136528773007365,92.58356885293831,0.0773603937238086,83.55736842105264
cergal,Grupo Cergal,cergal,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2025,12,55434,24,4150.4400000000005,,0,0.0004329472886676047,,,172.93500000000003
cergal,Grupo Cergal,cergal,Cergal — COOPERATIVA DE ELETRIFICAÇÃO RURAL ANITA GARIBALDI LTDA,2026,4,24326,4,4021.99,,0,0.0001644331168297295,,,1005.4975
cergapa,Grupo Cergapa,cergapa,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2023,12,3042,6,1.0,3975.75,47709,0.0019723865877712033,12.576243476073698,2.0960405793456162e-05,0.16666666666666666
cergapa,Grupo Cergapa,cergapa,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2024,12,5173,0,0.0,3989.0,3989,0.0,0.0,0.0,
cergapa,Grupo Cergapa,cergapa,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2025,12,1544,0,0.0,,0,0.0,,,
cergapa,Grupo Cergapa,cergapa,Cergapa — COOPERATIVA DE ELETRICIDADE DE GRÃO PARÁ,2026,3,311,0,0.0,,0,0.0,,,
cergral,Grupo Cergral,cergral,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2023,12,27887,65,71.09,6853.0,82236,0.0023308351561659555,79.04080937788804,0.0008644632521037016,1.0936923076923077
cergral,Grupo Cergral,cergral,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2024,12,32637,19,2964.6400000000003,6890.0,6890,0.0005821613506143334,275.7619738751814,0.4302815674891147,156.03368421052633
cergral,Grupo Cergral,cergral,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2025,12,25504,11,825.1399999999999,,0,0.00043130489335006274,,,75.01272727272726
cergral,Grupo Cergral,cergral,Cergral — COOPERATIVA DE ELETRICIDADE DE GRAVATAL,2026,4,10716,4,155.05,,0,0.0003732736095558044,,,38.7625
ceriluz,Grupo Ceriluz,ceriluz,Ceriluz — COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,2023,12,47058,6,340.69,14948.5,179382,0.00012750223128904755,3.3448172057397065,0.0018992429563724341,56.781666666666666
